set,epoch,mean_running_loss,std_running_loss,mse,mae,cs_0,cs_25
train,0,1584803.631555944,351460.4557590667,1585410.257655293,1248.0905511811025,0.0,0.0
eval,0,1117122.8033536586,39630.93552547004,1117233.595712098,1054.4624808575804,0.0,0.0
train,1,362874.814767264,250366.05237737927,363150.4956255468,555.420384951881,0.0,0.0
eval,1,99084.69945693598,25920.097394031214,99119.35222052067,266.9050535987749,0.0,0.9188361408882083
train,2,13920.759398560424,13804.58648956039,13928.715223097113,92.07305336832896,0.4811898512685914,17.3665791776028
eval,2,5606.408363900534,1318.193876454077,5608.323124042879,62.675344563552834,0.6125574272588056,23.27718223583461
train,3,4198.1412583998035,1199.9817346369693,4197.1447944006995,53.75284339457568,0.6124234470691163,26.64041994750656
eval,3,4262.921764838986,1389.1062799457213,4264.502297090352,53.617151607963244,0.3062787136294028,26.493108728943337
train,4,4202.70210148738,1226.1357755051954,4203.639982502187,53.63560804899387,0.5686789151356081,26.64041994750656
eval,4,5177.581974680831,1667.3503568879057,5170.554364471669,59.05666156202144,0.7656967840735069,26.952526799387442
train,5,3966.8079449847028,1188.5445528360922,3967.8937007874015,52.02843394575678,0.3499562554680665,27.64654418197725
eval,5,3786.243670207698,1235.5273821779608,3793.8269525267992,50.86830015313936,0.7656967840735069,29.402756508422666
train,6,3902.339930821132,1161.3084671228785,3901.1202974628172,51.57349081364829,0.4374453193350831,27.340332458442695
eval,6,3641.4582072932544,1322.917820390867,3649.5359877488513,49.67993874425727,0.3062787136294028,29.709035222052066
train,7,3745.7171366231423,1218.824684787729,3746.4706911636044,49.76727909011374,0.6124234470691163,32.1084864391951
eval,7,3574.321914300686,1066.697667286234,3573.8713629402755,48.87595712098009,0.7656967840735069,29.249617151607964
train,8,3486.888274079436,1023.9345310897652,3488.1504811898512,47.583552055993,0.6561679790026247,32.98337707786526
eval,8,3378.829768483232,1159.7002706272297,3372.8009188361407,46.17304747320061,1.5313935681470139,33.2312404287902
train,9,3382.452947443182,1174.043367114752,3384.6128608923887,46.12117235345582,0.4811898512685914,36.13298337707786
eval,9,3090.7241508669968,1196.5450916797743,3088.1010719754977,43.42113323124043,0.3062787136294028,37.67228177641654
train,10,2962.806536481097,1014.9396550893093,2963.71697287839,42.97069116360455,0.7874015748031495,38.71391076115486
eval,10,2726.20361328125,880.8979554772184,2727.1837672281777,40.963246554364474,0.6125574272588056,39.20367534456356
train,11,2712.050307480605,1052.626809524571,2711.5516185476818,40.95494313210849,1.0498687664041995,39.06386701662292
eval,11,2472.617008860518,842.7161583801754,2469.0980091883616,39.23583460949464,1.3782542113323124,41.65390505359878
train,12,2466.7596870902535,952.2341468960727,2467.3110236220473,39.08967629046369,0.5249343832020997,41.25109361329834
eval,12,2488.4175176853087,743.9771949663077,2490.5160796324653,39.750382848392036,0.9188361408882083,40.73506891271057
train,13,2221.1340933846427,859.0269156204857,2222.2904636920384,37.31846019247594,0.8311461067366579,43.00087489063867
eval,13,1825.8212622665778,759.6310198668571,1826.5130168453293,33.23889739663093,0.7656967840735069,47.47320061255743
train,14,2145.4018887606535,718.8731808582127,2145.501312335958,36.9002624671916,0.9186351706036745,41.77602799650044
eval,14,1822.5862530964177,585.363898762218,1824.854517611026,33.684532924961715,0.9188361408882083,45.94180704441042
train,15,1958.6665077476234,768.5198265354663,1958.1167979002626,34.840332458442695,0.9186351706036745,45.2755905511811
eval,15,1787.0484455387766,628.2263832119419,1786.6309341500767,33.62021439509954,2.2970903522205206,46.094946401225116
train,16,1899.0778147023875,767.4820268610755,1900.6504811898512,34.538495188101486,0.8311461067366579,45.49431321084864
eval,16,4333.771526057546,1354.4065159380089,4330.012251148545,54.70444104134763,0.6125574272588056,24.042879019908117
train,17,1858.576840060574,744.9314498362959,1860.0144356955382,33.90332458442695,0.9623797025371827,46.019247594050746
eval,17,1531.0461678853849,601.067255561026,1526.594180704441,30.71362940275651,0.7656967840735069,51.60796324655437
train,18,1747.9823821808075,789.9945599783406,1748.7257217847769,32.66097987751531,0.9186351706036745,48.55643044619423
eval,18,1935.22836973609,762.2671499915747,1936.6401225114855,34.55130168453292,0.45941807044410415,45.94180704441042
train,19,1706.8365896798514,714.7562134182929,1706.3009623797025,31.99737532808399,0.7874015748031495,50.13123359580053
eval,19,1481.0513261004191,487.18229839003067,1485.6937212863706,30.11332312404288,1.6845329249617151,51.60796324655437
train,20,1639.4945811024913,730.8446550322832,1639.4111986001749,31.397200349956254,1.0498687664041995,51.0498687664042
eval,20,1372.9729078339367,513.2826107869503,1374.7580398162327,29.006125574272588,1.3782542113323124,51.14854517611026
train,21,1544.0598872258113,643.9500003339806,1543.8976377952756,30.337707786526686,1.0936132983377078,52.31846019247593
eval,21,1385.8841701600609,616.7213966319338,1384.8300153139357,28.793261868300153,1.0719754977029097,53.13935681470138
train,22,1493.2737085302392,731.3860949097865,1493.100612423447,29.8416447944007,0.9186351706036745,52.75590551181102
eval,22,1385.7062415146247,579.0456474050202,1390.3200612557428,28.67228177641654,2.2970903522205206,53.44563552833078
train,23,1376.3645954265462,571.0726823998407,1376.8792650918635,28.84776902887139,1.268591426071741,54.46194225721784
eval,23,1696.0227341070408,572.1946377349944,1695.218989280245,32.437978560490045,1.0719754977029097,47.47320061255743
train,24,1428.3012146849733,621.3479569884394,1428.0966754155731,29.357392825896763,0.7436570428696413,53.84951881014873
eval,24,1352.415150712176,517.4573702592639,1348.427258805513,28.157733537519142,1.5313935681470139,54.211332312404295
train,25,1352.231695855414,635.215253064213,1352.7979002624672,28.511811023622048,1.7935258092738406,54.54943132108486
